Frame,ID,Type
26,5344,truck
27,5346,car
28,5347,truck
34,5354,truck
37,5356,car
39,5358,car
41,5360,car
44,5365,car
45,5368,truck
47,5371,car
52,5378,car
6,5385,car
11,5386,car
11,5388,car
14,5390,car
21,5391,car
22,5392,truck
22,5393,truck
24,5395,car
24,5396,car
27,5398,car
36,5400,car
46,5406,car
47,5407,car
53,5409,truck
3,5418,car
4,5421,truck
4,5422,car
4,5423,car
6,5427,car
8,5429,car
8,5431,car
16,5442,car
18,5443,car
22,5445,truck
33,5465,car
37,5469,truck
37,5470,car
43,5476,car
51,5483,truck
3,5491,car
3,5492,truck
3,5493,car
3,5494,car
9,5506,car
10,5508,truck
15,5515,truck
15,5516,car
23,5527,car
25,5530,car
28,5533,car
35,5536,truck
39,5542,truck
40,5543,truck
40,5544,car
41,5545,truck
41,5547,car
46,5555,car
50,5558,truck
51,5561,car
53,5565,car
3,5569,car
3,5570,truck
4,5574,truck
9,5581,car
14,5585,truck
21,5592,car
23,5594,car
24,5595,truck
27,5596,car
28,5599,car
29,5600,car
40,5608,car
40,5610,car
44,5613,car
46,5618,car
47,5621,car
49,5622,car
49,5624,car
49,5625,car
50,5627,car
51,5628,car
3,5634,truck
7,5636,car
14,5639,truck
16,5640,car
24,5646,car
27,5649,truck
34,5653,car
35,5656,car
3,5663,car
3,5666,car
3,5667,truck
3,5668,car
3,5669,truck
4,5671,car
11,5677,car
12,5678,truck
18,5687,car
19,5688,car
25,5694,car
31,5703,car
32,5705,car
35,5707,car
43,5712,truck
43,5713,truck
44,5714,car
48,5719,car
19,5733,truck
23,5738,truck
25,5739,truck
32,5741,car
34,5743,car
41,5745,car
41,5746,car
3,5750,truck
3,5751,car
3,5752,car
3,5753,car
3,5754,car
8,5758,car
8,5760,car
8,5761,car
8,5762,car
8,5763,car
8,5764,car
11,5766,car
14,5771,truck
23,5778,car
32,5783,car
40,5787,car
48,5791,truck
52,5792,car
52,5793,truck
52,5795,car
20,5806,car
41,5809,car
3,5812,car
3,5813,car
3,5814,car
3,5815,truck
3,5816,car
7,5825,truck
7,5826,car
8,5828,car
8,5830,bus
8,5832,car
10,5833,car
13,5839,car
17,5847,car
18,5849,car
18,5850,car
19,5853,car
19,5854,truck
26,5863,truck
26,5864,car
26,5867,car
26,5868,truck
31,5872,car
31,5875,truck
31,5877,car
36,5880,car
40,5885,car
43,5889,car
52,5901,truck
52,5903,car
53,5906,truck
3,5911,car
3,5912,car
3,5913,truck
3,5914,truck
3,5918,car
4,5921,truck
4,5922,truck
8,5929,car
10,5931,car
12,5933,truck
14,5936,truck
36,5939,car
40,5946,car
52,5950,car
2,5954,car
3,5955,car
3,5956,car
3,5957,car
4,5958,car
4,5959,car
4,5961,car
4,5962,car
4,5967,car
4,5968,truck
5,5969,car
8,5972,car
13,5982,car
20,5988,car
34,6000,car
37,6003,car
44,6010,car
52,6011,truck
2,6016,truck
3,6018,truck
6,6034,car
6,6035,car
8,6037,car
12,6039,car
14,6040,car
14,6041,car
33,6048,car
34,6050,truck
3,6060,car
3,6062,car
3,6063,car
3,6064,car
3,6066,car
3,6067,car
3,6068,car
4,6070,car
8,6077,car
20,6087,car
26,6095,car
31,6099,truck
36,6104,car
37,6105,car
48,6114,car
3,6119,truck
3,6122,truck
13,6129,car
18,6132,car
24,6139,car
25,6142,car
29,6145,car
41,6151,car
43,6152,truck
3,6157,car
3,6158,car
3,6159,truck
3,6160,truck
4,6163,car
4,6164,car
5,6165,car
5,6166,car
5,6167,car
9,6171,car
11,6176,car
13,6178,car
15,6179,truck
17,6181,car
17,6182,car
28,6188,car
28,6190,car
35,6193,car
40,6198,truck
42,6199,truck
47,6207,car
49,6211,truck
50,6212,truck
52,6214,car
3,6219,car
3,6220,truck
3,6221,car
5,6224,truck
10,6229,car
10,6231,car
13,6234,car
14,6235,car
14,6236,truck
22,6248,car
25,6251,car
27,6255,car
35,6261,car
39,6265,car
3,6275,car
3,6276,car
3,6278,car
7,6290,car
15,6305,truck
19,6311,car
19,6312,car
21,6314,car
22,6317,car
29,6323,car
30,6326,car
43,6343,car
46,6344,car
50,6350,car
50,6351,car
4,6357,car
4,6358,truck
4,6360,truck
8,6363,car
15,6370,car
18,6374,car
21,6377,truck
23,6381,car
28,6386,truck
31,6390,car
36,6400,car
37,6402,car
39,6405,truck
39,6406,truck
43,6411,car
44,6413,car
45,6416,car
47,6419,truck
49,6423,car
50,6425,car
3,6432,car
3,6433,car
3,6434,car
3,6435,car
3,6437,car
4,6438,car
4,6440,car
4,6441,car
4,6442,car
5,6444,car
8,6447,car
10,6450,car
14,6455,car
15,6457,truck
25,6461,car
30,6462,car
32,6467,car
49,6471,car
49,6472,car
51,6473,car
52,6474,car
4,6476,truck
4,6478,truck
12,6480,car
29,6486,car
33,6487,car
4,6504,car
4,6505,car
4,6506,car
4,6507,truck
4,6508,car
4,6509,truck
9,6516,car
10,6517,car
12,6522,car
13,6523,car
14,6525,car
26,6529,car
35,6532,car
39,6534,car
39,6535,car
42,6539,car
43,6540,car
3,6542,car
5,6543,car
